[2026-06-09 21:24:55,092: INFO: main Welcome to our custom log]
[2026-06-21 18:12:42,932: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:12:42,950: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:12:42,954: INFO: common created directory at: artifacts]
[2026-06-21 18:18:02,997: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:03,002: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:03,004: INFO: common created directory at: artifacts]
[2026-06-21 18:18:04,865: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:04,872: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:04,876: INFO: common created directory at: artifacts]
[2026-06-21 18:18:05,335: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:05,339: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:05,342: INFO: common created directory at: artifacts]
[2026-06-21 18:18:05,592: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:05,594: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:05,597: INFO: common created directory at: artifacts]
[2026-06-21 18:18:06,292: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:06,296: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:06,300: INFO: common created directory at: artifacts]
[2026-06-21 18:18:06,516: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:06,520: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:06,524: INFO: common created directory at: artifacts]
[2026-06-21 18:18:06,733: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:06,735: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:06,738: INFO: common created directory at: artifacts]
[2026-06-21 18:18:06,906: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:06,909: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:06,913: INFO: common created directory at: artifacts]
[2026-06-21 18:18:07,059: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:18:07,063: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:18:07,067: INFO: common created directory at: artifacts]
[2026-06-21 18:19:15,563: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:19:15,575: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:19:15,578: INFO: common created directory at: artifacts]
[2026-06-21 18:19:15,582: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:20:22,374: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:20:22,377: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:20:22,382: INFO: common created directory at: artifacts]
[2026-06-21 18:20:22,388: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:20:24,366: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:20:24,370: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:20:24,373: INFO: common created directory at: artifacts]
[2026-06-21 18:20:24,376: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:21:20,938: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:21:20,941: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:21:20,944: INFO: common created directory at: artifacts]
[2026-06-21 18:21:20,947: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:22:30,171: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:22:30,175: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:22:30,178: INFO: common created directory at: artifacts]
[2026-06-21 18:22:30,181: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:24:45,261: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:24:45,264: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:24:45,266: INFO: common created directory at: artifacts]
[2026-06-21 18:24:45,269: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:25:04,847: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:25:04,851: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:25:04,854: INFO: common created directory at: artifacts]
[2026-06-21 18:25:04,857: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:32:05,085: INFO: common yaml file: config\config.yaml loaded successfully]
[2026-06-21 18:32:05,088: INFO: common yaml file: params.yaml loaded successfully]
[2026-06-21 18:32:05,091: INFO: common created directory at: artifacts]
[2026-06-21 18:32:05,093: INFO: common created directory at: artifacts/data_ingestion]
[2026-06-21 18:32:05,096: INFO: 3863377839 Downloading file from :[https://drive.google.com/file/d/169D9VzYXm4XRSVlet4IuxQ65fnssKxEP/view?usp=sharing] into file artifacts/data_ingestion/data.zip]
